rep,time_print,time_click
lՎquipe bleue va vraisemblablement gagner,1694339428.19235,1694339435.6593611
lՎquipe bleue va vraisemblablement gagner,1694339438.7453818,1694339442.739028
lՎquipe bleue va vraisemblablement gagner,1694339445.082111,1694339450.2823622
lՎquipe bleue va vraisemblablement gagner,1694339454.1681018,1694339460.1614468
lՎquipe bleue va vraisemblablement gagner,1694339462.897876,1694339467.9191391
lՎquipe bleue va vraisemblablement gagner,1694339472.147275,1694339477.86908
lՎquipe bleue va vraisemblablement gagner,1694339481.507812,1694339487.791048
lՎquipe bleue va vraisemblablement gagner,1694339491.0159318,1694339498.003677
lՎquipe bleue va vraisemblablement gagner,1694339500.718414,1694339506.4762821
lՎquipe bleue va vraisemblablement gagner,1694339509.3490949,1694339515.0137842
lՎquipe bleue va vraisemblablement gagner,1694339520.929641,1694339526.388028
lՎquipe bleue va vraisemblablement gagner,1694339531.756427,1694339540.295361
lՎquipe bleue va vraisemblablement gagner,1694339548.715929,1694339553.96015
lՎquipe bleue va vraisemblablement gagner,1694339557.745213,1694339562.863047
lՎquipe bleue va vraisemblablement gagner,1694339567.273112,1694339572.2631931
lՎquipe bleue va vraisemblablement gagner,1694339575.93859,1694339579.9475
lՎquipe rouge va vraisemblablement gagner,1694339583.088375,1694339588.966544
lՎquipe bleue va vraisemblablement gagner,1694339592.898271,1694339597.6560361
lՎquipe bleue va vraisemblablement gagner,1694339600.779528,1694339606.9549088
lՎquipe bleue va vraisemblablement gagner,1694376584.33456,1694376611.059669
lՎquipe rouge va vraisemblablement gagner,1694376658.212478,1694376664.5160918
lՎquipe bleue va vraisemblablement gagner,1694376667.857205,1694376679.4572349
lՎquipe rouge va vraisemblablement gagner,1694376687.651757,1694376696.551255
lՎquipe bleue va vraisemblablement gagner,1694376703.1614358,1694376708.5750232
