rep,time_print,time_click
lՎquipe rouge va vraisemblablement gagner,1693041734.7680957,1693041742.0080743
lՎquipe bleue va vraisemblablement gagner,1693041764.659145,1693041886.690307
lՎquipe rouge va vraisemblablement gagner,1693041903.953168,1693041918.854412
lՎquipe bleue va vraisemblablement gagner,1693041921.7497447,1693041941.0283115
lՎquipe rouge va vraisemblablement gagner,1693041949.2853053,1693041955.5358474
lՎquipe bleue va vraisemblablement gagner,1693041967.226245,1693041970.6642332
lՎquipe bleue va vraisemblablement gagner,1693041973.2887077,1693041976.815011
lՎquipe bleue va vraisemblablement gagner,1693041979.643018,1693041982.1521792
lՎquipe bleue va vraisemblablement gagner,1693041984.3424463,1693041986.5900242
lՎquipe bleue va vraisemblablement gagner,1693041988.5892715,1693041991.0025597
lՎquipe bleue va vraisemblablement gagner,1693041998.5636249,1693042001.281603
lՎquipe bleue va vraisemblablement gagner,1693042003.2815614,1693042005.9329233
lՎquipe bleue va vraisemblablement gagner,1693042007.7929933,1693042010.0076852
lՎquipe bleue va vraisemblablement gagner,1693042011.6349907,1693042013.8685827
lՎquipe bleue va vraisemblablement gagner,1693042015.611461,1693042017.7091
lՎquipe bleue va vraisemblablement gagner,1693042021.3912215,1693042024.4504294
lՎquipe bleue va vraisemblablement gagner,1693042026.3692706,1693042028.6437466
lՎquipe bleue va vraisemblablement gagner,1693042030.302763,1693042032.318605
lՎquipe bleue va vraisemblablement gagner,1693042033.9209373,1693042036.72832
lՎquipe bleue va vraisemblablement gagner,1693042038.3208404,1693042040.8594224
lՎquipe bleue va vraisemblablement gagner,1693042048.38709,1693042051.2051
lՎquipe bleue va vraisemblablement gagner,1693042053.2423651,1693042055.947921
lՎquipe bleue va vraisemblablement gagner,1693042057.5562522,1693042059.5542996
lՎquipe bleue va vraisemblablement gagner,1693042062.1019607,1693042065.1636114
lՎquipe bleue va vraisemblablement gagner,1693042067.4198627,1693042071.88901
